PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2012_WISCONSIN,WISCONSIN,2012,863314,11139967,907311,4786356,5446300,10724377,5631108,3525882,491104,449246,55008,62422,60670,61857,67130,489324,265682,872436,,,,
2012_WYOMING,WYOMING,2012,89994,1664983,144728,851896,668359,1670728,845801,540510,53299,213245,540,8131,7127,6874,6046,56619,26243,91533,,,,
2014_ALABAMA,ALABAMA,2014,740081,7357267,794090,4031547,2531630,7587737,3824295,2390530,587642,580934,11076,57939,55479,57471,49929,454081,221068,744164,,,,
2014_ALASKA,ALASKA,2014,130539,2663647,309525,1824373,529749,2727056,1346457,982843,86314,269107,3074,10559,9812,9653,9671,79112,38431,131176,,,,
2014_ARIZONA,ARIZONA,2014,943937,8361708,1102980,3182285,4076443,8109460,3902565,2858103,461316,678228,8839,83241,85535,84596,84913,687823,331552,1111695,,,,
2014_ARKANSAS,ARKANSAS,2014,479881,5193218,552738,4006889,633591,5242672,2609867,1753929,282078,424314,14834,38503,35922,36788,32428,295622,141653,490917,,,,
2014_CALIFORNIA,CALIFORNIA,2014,6224685,72389126,7415061,38410554,26563511,72506810,35539425,21594573,3581789,6124103,76641,511985,475192,467038,496901,3767745,1949755,6312161,,,,
2014_COLORADO,COLORADO,2014,865231,9162406,681230,3961719,4519457,9286626,4470568,3002964,373620,932776,31663,66068,66809,65116,63001,536632,254643,889006,,,,
2014_CONNECTICUT,CONNECTICUT,2014,511082,10743919,420593,4141590,6181736,10201500,5889381,3128453,343615,447290,17987,37654,39699,41165,40018,319247,167790,542678,,,,
2014_DELAWARE,DELAWARE,2014,120623,1954374,133055,1137764,683555,1988535,1050647,582448,103583,171618,1520,10205,10278,10035,8688,82971,39346,134042,,,,
2014_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2014,44942,1342220,134959,0,1207261,1313289,503349,375966,34409,399565,12049,7273,5264,4525,3421,43084,17634,80958,,,,
2014_FLORIDA,FLORIDA,2014,2708022,26077462,3112027,10460928,12504507,26523658,14542370,7948773,1788820,1468023,58613,204552,202424,210397,189545,1670530,823249,2756944,,,,
2014_GEORGIA,GEORGIA,2014,1699185,17821620,1804212,7837335,8180073,17668352,9635641,5197804,967343,1642099,46150,133616,131377,133128,106405,1063066,501605,1744437,,,,
2014_HAWAII,HAWAII,2014,186825,2696766,286988,2354601,55177,2504144,1386369,798677,145898,173200,1489,11661,15221,12587,10644,117974,50925,182384,,,,
2014_IDAHO,IDAHO,2014,281452,2084970,232593,1319582,532795,2012852,1108768,650395,109175,91323,2597,21509,22799,22407,19879,181354,85232,290885,,,,
2014_ILLINOIS,ILLINOIS,2014,2060632,31085621,2301827,11163462,17620332,31080869,16323537,10012961,975999,1999969,79349,139729,149399,153054,147588,1209886,621275,2050239,,,,
2014_INDIANA,INDIANA,2014,1007121,12399402,933891,7632238,3833273,11136045,5513142,3641179,526178,889924,16206,78861,75552,82669,74952,633508,316465,1046269,,,,
2014_IOWA,IOWA,2014,501763,6455928,455586,3247115,2753227,6541553,3266694,1853835,259833,801317,28884,39923,36072,35827,36091,290642,145862,505311,,,,
2014_KANSAS,KANSAS,2014,496034,5813985,419415,3265012,2129558,5957954,3033016,1657449,246811,813093,19104,37524,36435,36140,32731,294230,140324,497275,,,,
2014_KENTUCKY,KENTUCKY,2014,686789,7229857,825742,3966872,2437243,7346219,3659917,2345545,454067,620745,27345,51876,50300,51246,43862,412196,196733,688640,,,,
2014_LOUISIANA,LOUISIANA,2014,665441,8352703,1272004,3455315,3625384,8140649,4026042,2731011,409510,706668,28200,56119,54030,52835,40610,437690,194791,716800,,,,
2014_MAINE,MAINE,2014,178709,2675648,182961,1032280,1460407,2550302,1369822,886844,109348,66571,5038,13274,13488,13805,13777,107797,56361,182470,,,,
2014_MARYLAND,MARYLAND,2014,865768,13982544,816033,6186736,6979775,13712839,7475952,4303895,367048,1131199,30385,66200,65382,61747,58624,523857,254072,874514,,,,
2014_MASSACHUSETTS,MASSACHUSETTS,2014,920558,16609204,791029,6587492,9230683,16518383,9407351,4969348,488065,1028761,28375,67670,69922,72190,68038,569677,288934,955844,,,,
2014_MICHIGAN,MICHIGAN,2014,1363533,18457253,1563397,10073758,6820098,17358365,8858564,5735894,831071,856907,44607,105582,110135,116804,116032,898924,484956,1537922,,,,
2014_MINNESOTA,MINNESOTA,2014,804580,11168633,630445,7603409,2934779,11300786,5986788,2803239,880403,1069928,14977,64454,63781,63805,69615,514730,263074,857235,,,,
2014_MISSISSIPPI,MISSISSIPPI,2014,492421,4480105,664697,2243098,1572310,4463078,2279076,1521319,287150,316494,4409,40543,36620,36791,28980,303333,134857,490917,,,,
2014_MISSOURI,MISSOURI,2014,892992,10256615,895743,4267069,5093803,10324249,5243167,3183894,577580,919482,31153,68753,68210,67879,63388,548958,268921,917785,,,,
2014_MONTANA,MONTANA,2014,144034,1729712,201528,822788,705396,1754324,949120,570780,77193,121753,1229,11682,11044,10807,9825,89805,41816,144532,,,,
2014_NEBRASKA,NEBRASKA,2014,307398,4005091,318179,1283012,2403900,4008633,2371149,1059275,175887,307828,15253,23951,22921,22374,23051,183467,89964,312635,,,,
2014_NEVADA,NEVADA,2014,435765,4203255,381596,2651854,1169805,4043820,2104452,1413964,170754,161354,5230,33942,34993,35318,31892,284442,134640,459189,,,,
2014_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2014,184846,3042994,161989,1003995,1877010,2960615,1682021,913353,75750,87603,3639,11580,13590,14423,13856,110626,58807,184670,,,,
2014_NEW_JERSEY,NEW_JERSEY,2014,1335350,28454548,1142878,11047025,16264645,27742203,14956606,9205196,1273398,895858,55106,92560,97428,99751,95666,792613,401874,1400579,,,,
2014_NEW_MEXICO,NEW_MEXICO,2014,326637,3601387,466320,2505492,629575,3576216,1709599,1088329,147184,562323,8004,26660,25641,25272,21147,206441,99260,340365,,,,
2014_NEW_YORK,NEW_YORK,2014,2619312,61337112,3347393,24830862,33158857,62556193,40168920,15381372,1515933,4060304,57353,200507,197545,200384,190387,1607983,827493,2741185,,,,
2014_NORTH_CAROLINA,NORTH_CAROLINA,2014,1441391,13462754,1529624,7849343,4083787,13540706,7573296,4015292,747335,609013,31550,119730,115539,119636,97257,941088,454963,1548895,,,,
2014_NORTH_DAKOTA,NORTH_DAKOTA,2014,103272,1568997,155894,901032,512071,1597210,758669,422005,100586,239992,2063,9031,7995,7652,7471,65071,30421,106586,,,,
2014_OHIO,OHIO,2014,1601566,23297509,1692769,9492461,12112279,21847582,11350255,7111920,898844,1546152,31135,129013,125215,134275,115962,1044724,519938,1724810,,,,
2014_OKLAHOMA,OKLAHOMA,2014,670069,6034336,690122,2983860,2360354,6026661,2833650,2033459,404999,687788,42218,55134,47577,48487,40729,405206,184170,688511,,,,
2014_OREGON,OREGON,2014,566538,6621363,521463,3393147,2706753,6453635,3437466,2151154,242975,311077,30461,41645,42942,43521,47566,349455,179757,601318,,,,
2014_PENNSYLVANIA,PENNSYLVANIA,2014,1605292,29068069,1812609,10272392,16983068,28620630,15352999,7889064,1163079,1566997,8106,127398,129927,135683,131694,1058258,549398,1743160,,,,
2014_RHODE_ISLAND,RHODE_ISLAND,2014,135084,2313010,186551,867512,1258947,2258076,1277445,782773,92710,37897,2369,9885,10720,10899,10578,86813,42892,141959,,,,
2014_SOUTH_CAROLINA,SOUTH_CAROLINA,2014,729386,8417698,812536,3902923,3702239,8452743,4035914,2747427,430577,862750,24274,58282,55741,57025,45619,457244,216723,756523,,,,
2014_SOUTH_DAKOTA,SOUTH_DAKOTA,2014,130653,1345549,186216,413544,745789,1355439,696235,413254,68154,146035,2787,11768,10366,9441,8674,81184,37301,133040,,,,
2014_TENNESSEE,TENNESSEE,2014,992583,9237782,1095377,4315952,3826453,9432883,5296570,2805578,536241,549104,25912,74960,75248,74883,66972,606195,288408,995475,,,,
2014_TEXAS,TEXAS,2014,4949469,52776853,5643178,20510815,26622860,53096761,25364709,14803918,2682490,5766846,241826,390552,390570,388428,314039,3150946,1450441,5233765,,,,
2014_UTAH,UTAH,2014,570423,4405929,385210,2363055,1657664,4385896,2336613,1139969,302794,490911,13142,48841,49173,46969,42163,394684,178910,635577,,,,
2014_VERMONT,VERMONT,2014,87990,1895044,102434,1495453,297157,1876197,955495,553032,59714,56780,5984,5768,6211,6268,6417,49221,26338,87311,,,,
2014_VIRGINIA,VIRGINIA,2014,1273211,15347862,1009659,5994897,8343306,15690444,8464947,4964725,619387,1041633,32839,93758,95200,95558,88256,771091,382598,1280381,,,,
2014_WASHINGTON,WASHINGTON,2014,1057773,13040197,1030232,7833024,4176941,12806300,6267816,4035948,549588,1525815,12663,81212,79721,80391,87206,646445,333318,1073638,,,,
2014_WEST_VIRGINIA,WEST_VIRGINIA,2014,280265,3514889,351957,2033948,1128984,3499873,1823665,1147776,222824,286099,15253,20860,20196,20501,18239,163654,80543,280310,,,,
2014_WISCONSIN,WISCONSIN,2014,865119,11330253,830568,5709579,4790106,11255186,5685955,3616770,498431,767074,55831,60424,60795,62034,65954,490627,264550,871432,,,,
2014_WYOMING,WYOMING,2014,92732,1772633,112709,965213,694711,1775999,865932,555761,50715,287977,564,7997,7438,6927,6133,58774,26732,94067,,,,
2016_ALABAMA,ALABAMA,2016,734652,7498567,797631,4097696,2603240,7708845,3865453,2439634,602452,610743,14755,55474,57945,55055,52320,452063,222638,744930,,,,
2016_ALASKA,ALASKA,2016,132477,2494691,307320,1613675,573696,2623014,1251738,983877,91536,255041,3246,10274,10320,9410,9740,80644,38573,132737,,,,
2016_ARIZONA,ARIZONA,2016,938274,8503034,1160908,3440726,3901400,7987011,3872250,2913176,490641,528694,9704,79760,89184,86312,86960,694046,339195,1123137,,,,
2016_ARKANSAS,ARKANSAS,2016,479177,5401016,593656,4122377,684983,5434193,2658253,1802769,289916,518181,16181,36917,38598,36351,32881,297045,143085,493447,,,,
2016_CALIFORNIA,CALIFORNIA,2016,6217031,89217262,7709079,50904567,30603616,85320133,42587272,26058021,3995951,6786142,80903,535379,471141,472340,484169,3747077,1939323,6309138,,,,
2016_COLORADO,COLORADO,2016,880678,10123271,713914,4365019,5044338,9878524,4786838,3333043,399899,880204,32452,64011,69376,67659,66244,543056,265500,905019,,,,
2016_CONNECTICUT,CONNECTICUT,2016,499494,11419673,468595,4411204,6539874,10826431,6110631,3307162,380996,620905,18536,36621,39859,41128,40831,313686,166275,535118,,,,
2016_DELAWARE,DELAWARE,2016,121225,2043577,134412,1172219,736946,2041952,1126775,588181,130187,104579,1761,9894,10612,10299,9001,84105,40504,136264,,,,
2016_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2016,48336,1329719,154922,0,1174797,1322563,594396,369131,43753,315283,12544,7574,6295,4557,3800,46680,19052,85850,,,,
2016_FLORIDA,FLORIDA,2016,2776933,28125598,3147329,10963807,14014462,27945116,15212112,8286140,1841593,1983363,60332,201060,212595,208336,197881,1707618,847781,2816791,,,,
2016_GEORGIA,GEORGIA,2016,1727085,19403453,1807371,8771192,8824890,19158388,10534931,5554271,1029127,1834767,47430,127056,137963,130777,111538,1071088,518772,1764346,,,,
2016_HAWAII,HAWAII,2016,181995,3030519,261131,2710361,59027,2733094,1468044,901508,146892,216650,1648,14652,15459,13091,10574,114606,50216,181550,,,,
2016_IDAHO,IDAHO,2016,274849,2266490,240322,1454830,571338,2100980,1171313,689190,111297,74932,2536,21085,23765,22818,21084,184940,88576,297200,,,,
2016_ILLINOIS,ILLINOIS,2016,2030717,32908958,2331724,12053316,18523918,33037244,17804976,10426170,992684,2015647,85018,134735,151903,150595,148457,1188945,618016,2026718,,,,
2016_INDIANA,INDIANA,2016,1002696,12732161,954837,7780711,3996613,11535287,5730602,3663349,565820,986746,18882,76874,78034,78029,77503,628775,323736,1049547,,,,
2016_IOWA,IOWA,2016,508014,6919477,464852,3583134,2871491,6972412,3447707,1978260,268349,889597,29307,38178,37830,36538,36567,295181,147165,509831,,,,
2016_KANSAS,KANSAS,2016,495545,6069563,453922,3949517,1666124,6134836,3006786,1685306,249622,964098,19302,35750,37692,35948,33784,293687,141881,494347,,,,
2016_KENTUCKY,KENTUCKY,2016,686440,7745928,880296,4269100,2596532,7786281,3917968,2425472,490641,736079,26902,48888,52487,50098,44668,409089,198579,684017,,,,
2016_LOUISIANA,LOUISIANA,2016,660561,8397136,1021465,3480353,3895318,8248660,4095916,2789031,421043,577609,27974,53103,56267,51612,42432,435129,200087,716293,,,,
2016_MAINE,MAINE,2016,179879,2845391,185803,1074641,1584947,2706103,1437164,938187,116281,95951,5437,12650,13561,13500,13868,106851,55574,180512,,,,
2016_MARYLAND,MARYLAND,2016,879196,14409321,823599,6334951,7250771,13992191,7779504,4338868,397653,1055665,30945,64472,69182,64522,58303,535023,255781,886221,,,,
2016_MASSACHUSETTS,MASSACHUSETTS,2016,921029,17484704,765043,6770086,9949575,17037880,9991819,4970289,504388,945525,29633,66249,72481,72576,71002,570604,295336,964514,,,,
2016_MICHIGAN,MICHIGAN,2016,1335713,19416061,1552824,10727785,7135452,18001445,9113469,5899097,847846,1062838,48416,115715,111742,113678,115605,880590,479976,1528666,,,,
2016_MINNESOTA,MINNESOTA,2016,811157,12186135,634332,7887346,3664457,12848946,6548885,3016934,954208,1743709,18960,63295,67087,64856,70215,524829,267937,875021,,,,
2016_MISSISSIPPI,MISSISSIPPI,2016,486245,4755399,690724,2411621,1653054,4631356,2407637,1551274,287245,335067,5361,36652,39282,35049,29717,298563,134814,483150,,,,
2016_MISSOURI,MISSOURI,2016,891554,10893231,924655,4568867,5399709,10719882,5488433,3298811,630287,890008,31808,66052,70736,67278,63744,549447,267733,915040,,,,
2016_MONTANA,MONTANA,2016,145240,1800909,220340,840804,739765,1879789,973199,599074,85351,179414,1066,11678,11687,11044,9819,91593,42038,146375,,,,
2016_NEBRASKA,NEBRASKA,2016,315542,4398811,346826,1437048,2614937,4640422,2526973,1149107,206577,641968,16467,22283,22378,23178,23597,187301,93143,319194,,,,
2016_NEVADA,NEVADA,2016,441623,4482886,401323,2816911,1264652,4374249,2288790,1505591,184055,224494,5426,34626,38160,35895,32940,293071,139723,473744,,,,
2016_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2016,179682,3150473,169166,1004753,1976554,3124778,1743022,959654,76229,137180,3965,11430,13644,14167,13502,108207,57280,180888,,,,
2016_NEW_JERSEY,NEW_JERSEY,2016,1364473,30012666,1187430,11681799,17143437,29665476,15831343,9549742,1375737,1414861,62149,91197,101704,100200,98490,794477,402880,1410421,,,,
2016_NEW_MEXICO,NEW_MEXICO,2016,319861,3765069,506995,2591444,666630,3729397,1733158,1212080,156882,551143,7430,24301,26358,24901,21423,204676,99856,336263,,,,
2016_NEW_YORK,NEW_YORK,2016,2590945,66912661,3369803,27437593,36105265,68282026,43964520,15883500,1599317,4656189,65600,194163,203159,200060,193375,1603446,818799,2729776,,,,
2016_NORTH_CAROLINA,NORTH_CAROLINA,2016,1462036,13448045,1557900,8287126,3603019,14207389,8060544,4102549,754102,912783,18782,114414,122411,118048,102028,947000,468113,1550062,,,,
2016_NORTH_DAKOTA,NORTH_DAKOTA,2016,108384,1788749,155453,985365,647931,1963630,867650,474679,117979,412047,2665,8843,8678,7938,7376,67741,30457,109706,,,,
2016_OHIO,OHIO,2016,1595024,23766529,1680983,9277802,12807744,23352516,12247509,7357292,956321,1854842,36148,122516,129706,131039,121467,1031694,519785,1710143,,,,
2016_OKLAHOMA,OKLAHOMA,2016,672777,6103728,689756,2909651,2504321,6184152,3047217,2011100,416151,641979,41249,52194,52289,49235,42672,409754,189045,693903,,,,
2016_OREGON,OREGON,2016,574252,7418055,582560,3861438,2974057,7501954,3834741,2367410,255562,686104,,41796,46094,43950,47459,356642,180509,578947,,,,
2016_PENNSYLVANIA,PENNSYLVANIA,2016,1572593,31077289,1904293,11181046,17991950,30925177,16717308,8464573,1079198,1793713,7859,122763,133723,133577,132246,1053049,543826,1727497,,,,
2016_RHODE_ISLAND,RHODE_ISLAND,2016,133856,2401541,175379,940989,1285173,2358654,1340088,811796,90433,45441,2498,10059,11055,10839,10044,86314,43279,142150,,,,
2016_SOUTH_CAROLINA,SOUTH_CAROLINA,2016,743320,9161667,840786,4262164,4058717,9187299,4274682,3013294,458918,1073334,25613,55424,60797,56176,48257,466891,223322,771250,,,,
2016_SOUTH_DAKOTA,SOUTH_DAKOTA,2016,134045,1455737,196644,438629,820464,1475864,730176,440580,78149,192504,3290,11643,10866,9728,8708,83779,37590,136302,,,,
2016_TENNESSEE,TENNESSEE,2016,999265,9585331,1095415,4395757,4094159,9680512,5401812,2915193,569611,553997,27987,74667,78472,73711,68852,605373,293535,1001562,,,,
2016_TEXAS,TEXAS,2016,5053291,58284155,5953348,22004299,30326508,59314884,27862199,15169007,2855527,8332612,248116,372019,411117,392421,332969,3215536,1525178,5360849,,,,
2016_UTAH,UTAH,2016,580215,4952923,394060,2533573,2025290,4923657,2591600,1217100,286744,707988,15280,48264,52802,49498,45277,407669,188588,659801,,,,
2016_VERMONT,VERMONT,2016,87974,2112365,111891,1614518,385956,2082696,1013209,583178,56289,42911,8498,5822,6194,6117,6187,48535,25573,88428,,,,
2016_VIRGINIA,VIRGINIA,2016,1283493,16259274,1058146,6297587,8903541,16497520,8944614,5164699,643506,1161323,33281,90800,99258,95234,90500,773615,389330,1287026,,,,
2016_WASHINGTON,WASHINGTON,2016,1083973,14964364,1097684,9211201,4655479,15253296,7087365,4904575,577606,2204059,13933,81102,86114,81039,90645,667327,339349,1101711,,,,
2016_WEST_VIRGINIA,WEST_VIRGINIA,2016,276764,3391579,358068,1863062,1170449,3366566,1804235,1127255,236487,181392,14949,19869,20324,19931,18155,159595,79442,273855,,,,
2016_WISCONSIN,WISCONSIN,2016,857736,11697466,782610,5986763,4928093,11787535,5760418,3691439,508013,1082849,55436,57332,62408,61432,66303,488983,262681,864432,,,,
2016_WYOMING,WYOMING,2016,94511,2044669,123012,1175899,745758,2034229,921494,585700,53570,454302,664,7584,7642,7135,6262,58998,26924,94170,,,,
